#QUERIES;AGG-PAIRS-L-MERGE;AGG-PAIRS-E-MERGE;AGG-B2B-L-MERGE;AGG-B2B-E-MERGE;AGG-GEN-L-MERGE;AGG-GEN-E-MERGE;AGG-PAIRS-L-UPDATE;AGG-PAIRS-E-UPDATE;AGG-B2B-L-UPDATE;AGG-B2B-E-UPDATE;AGG-GEN-L-UPDATE;AGG-GEN-E-UPDATE;RED-PAIRS-L;RED-PAIRS-E;RED-B2B-L;RED-B2B-E;RED-GEN-L;RED-GEN-E;MAXB-PAIR-L;MAXB-PAIR-E;MAXB-B2B-L;MAXB-B2B-E;MAXB-GEN-L;MAXB-GEN-E;AVGB-PAIR-L;AVGB-PAIR-E;AVGB-B2B-L;AVGB-B2B-E;AVGB-GEN-L;AVGB-GEN-E;PARTIALS-PAIR-L;PARTIALS-PAIR-E;PARTIALS-B2B-L;PARTIALS-B2B-E;PARTIALS-GEN-L;PARTIALS-GEN-E;AVGCPU-PAIR-L;AVGCPU-PAIR-E;AVGCPU-B2B-L;AVGCPU-B2B-E;AVGCPU-GEN-L;AVGCPU-GEN-E;TOTALCPU-PAIR-L;TOTALCPU-PAIR-E;TOTALCPU-B2B-L;TOTALCPU-B2B-E;TOTALCPU-GEN-L;TOTALCPU-GEN-E;MAXB-NO;AVGB-NO;RED-NO
1;9252;4626;4626;4626;62446374;62435;32381251;32399756;32385878;32385878;0;858082771;32390503;32404382;32390504;32390504;62446374;858145206;4;7;4;7;16384;32767;4.0;7.0;3.0;5.0;2977.4545454545455;5953.909090909091;9255;9255;4628;4628;32390506;32390506;1321.0;1277.0;1254.0;1232.0;2330.0;8036.0;42792842000;41380733000;40630646000;39909495000;75478822000;2,60E+11;1024;290;62446374
10;2914337;470730;1855827;464722;1512769315;1252443;32325724;32762850;32349169;32611235;0;922680786;35240061;33233580;34204996;33075957;1512769315;923933229;64;127;32;63;32768;65535;24.8;48.6;15;29;5460;10919;64782;64782;41337;41337;32390506;32390506;1498;1489;1401;1405;8486;7984;48534892000;48248698000;45399041000;45519959000;2.75E+16;2.59E+16;10240;2900;624463740
20;4376711;701422;2987872;715069;2272125935;1918268;32325724;32762850;32346225;32622505;0;922680786;36702435;33464272;35334097;33337574;2272125935;924599054;64;127;32;63;32768;65535;24.8;48.6;15.0;29.0;5460.0;10919.0;64782;64782;44281;44281;32390506;32390506;1872.0;1788.0;1600.0;1613.0;13692.0;9285.0;60655803000;57917577000;51836927000;52259674000;4,43E+11;3,01E+11;20480;5800;1248927480
30;7838911;1221885;6244012;1104581;4091467892;3425990;32325724;32791663;32338151;32738416;0;922652786;40164635;34013548;38582163;33842997;4091467892;926078776;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;52355;52355;32390506;32390506;995.0;907.0;677.0;631.0;13364.0;5749.0;32234375000;29390625000;21953125000;20468750000;4,32891E+11;1,86219E+11;30720;8700;1873391220
40;10188061;1593907;8122743;1451464;5315777522;4457785;32325724;32789298;32338151;32737249;0;922652786;42513785;34383205;40460894;34188713;5315777522;927110571;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460;10919;64782;64782;52355;52355;32390506;32390506;2785;2730;2102;2069;28305;9647;90229997000;88456362000;68104839000;67039216000;9.17E+16;3.12E+16;40960;11600;2497854960
50;13759550;2206177;10967908;1979633;7164212201;6065550;32325724;32797976;32338151;32745810;0;922652786;46085274;35004153;43306059;34725443;7164212201;928718336;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;52355;52355;32390506;32390506;1737.0;1745.0;1018.0;949.0;23795.0;6400.0;56281250000;56531250000;33000000000;30765625000;7,7075E+11;2,07328E+11;51200;14500;3122318700
60;17668152;2747071;14097820;2433059;9158204293;7641777;32325724;32851410;32338151;32801815;0;922652786;49993876;35598481;46435971;35234874;9158204293;930294563;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;52355;52355;32390506;32390506;2211.0;2238.0;1137.0;1098.0;28357.0;6467.0;71625000000;72500000000;36859375000;35593750000;9,185E+11;2,09484E+11;61440;17400;3746782440
70;20039002;3134994;16192379;2796879;10378611926;8654381;32325724;32855724;32337495;32808500;0;922652786;52364726;35990718;48529874;35605379;10378611926;931307167;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;53011;53011;32390506;32390506;2742.0;2830.0;1340.0;1285.0;36732.0;7275.0;88843750000;91687500000;43406250000;41625000000;1,18978E+12;2,35656E+11;71680;20300;4371246180
80;21876884;3412697;17684328;3056064;11333899061;9432559;32325724;32855724;32337495;32808500;0;922652786;54202608;36268421;50021823;35864564;11333899061;932085345;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;53011;53011;32390506;32390506;3384.0;3567.0;1462.0;1434.0;39154.0;7581.0;1,09641E+11;1,15563E+11;47375000000;46468750000;1,26825E+12;2,45578E+11;81920;23200;4995709920
90;24948717;3927788;20128648;3505581;12831319737;10562782;32325724;32873520;32337495;32827317;0;922652786;57274441;36801308;52466143;36332898;12831319737;933215568;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;53011;53011;32390506;32390506;4179.0;3909.0;1644.0;1551.0;42781.0;7916.0;1,35375E+11;1,26625E+11;53265625000;50265625000;1,38572E+12;2,56422E+11;92160;26100;5620173660
100;27161700;4243029;21925948;3785175;13973280866;11436950;32325724;32873520;32337495;32827317;0;922652786;59487424;37116549;54263443;36612492;13973280866;934089736;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;53011;53011;32390506;32390506;4664.0;4700.0;1790.0;1764.0;43194.0;8128.0;1,51078E+11;1,52266E+11;57984375000;57140625000;1,39908E+12;2,63281E+11;102400;29000;6244637400
